href,title,price,zalog,predoplata,komissiyaarea,floor,totalArea,kitchenArea,livingArea,roomsCount,hasAirConditioner,hasDishwasher,hasFridge,hasFurniture,hasInternet,hasKitchenFurniture,hasTv,hasWashingMachine,hasBalcony,ceilingHeightM,routesList,windowsDirection,ceilingHeightM,index,komissiya
https://m2.ru/moskva/nedvizhimost/arenda-1-komnatnoi-kvartiri-35-m-9-9-etazh-15fdc5fd-4da2-472e-9316-4da3cdfa50aa/,"Аренда 1-комнатной квартиры 35 м², 9/9 этаж",35000,35 000 ₽,35 000 ₽,,9,35,9,20 м²,1,false,false,true,true,true,true,false,true,false,26,"{""timeMinutes"":9,""transportType"":""FOOT"",""station"":{""id"":201,""name"":""Планерная"",""allRoutesColorsList"":[""#943f90""]}},{""timeMinutes"":23,""transportType"":""FOOT"",""station"":{""id"":203,""name"":""Сходненская"",""allRoutesColorsList"":[""#943f90""]}},{""timeMinutes"":19,""transportType"":""PUBLIC_TRANSPORT"",""station"":{""id"":205,""name"":""Тушинская"",""allRoutesColorsList"":[""#943f90""]}",REAR,26,11.0,
https://m2.ru/moskva/nedvizhimost/arenda-1-komnatnoi-kvartiri-30-m-1-9-etazh-e2f61ec6-3b8b-4cc8-8194-f44bc8ddc6e4/,"Аренда 1-комнатной квартиры 30 м², 1/9 этаж",35000,35 000 ₽,35 000 ₽,,1,30,6,17 м²,1,true,false,true,true,true,true,false,true,false,"2,7","{""timeMinutes"":8,""transportType"":""FOOT"",""station"":{""id"":274,""name"":""Тимирязевская"",""allRoutesColorsList"":[""#adacac"",""#F7A600""]}},{""timeMinutes"":19,""transportType"":""FOOT"",""station"":{""id"":169333,""name"":""Дмитровская"",""allRoutesColorsList"":[""#E94282""]}},{""timeMinutes"":20,""transportType"":""FOOT"",""station"":{""id"":275,""name"":""Дмитровская"",""allRoutesColorsList"":[""#adacac""]}",REAR,"2,7",12.0,"60%, владельцу 60%"
https://m2.ru/moskva/nedvizhimost/arenda-3-komnatnoi-kvartiri-115-m-25-30-etazh-e05f6f5c-3a9e-4d87-9500-93c8c6c24c40/,"Аренда 3-комнатной квартиры 115 м², 25/30 этаж",180000,180 000 ₽,180 000 ₽,,25,115,12,62 м²,3,true,true,true,true,true,true,true,true,true,3,"{""timeMinutes"":15,""transportType"":""FOOT"",""station"":{""id"":4644,""name"":""Панфиловская"",""allRoutesColorsList"":[""#d14a43"",""#943f90""]}},{""timeMinutes"":16,""transportType"":""FOOT"",""station"":{""id"":69,""name"":""Сокол"",""allRoutesColorsList"":[""#4baf4f""]}},{""timeMinutes"":21,""transportType"":""FOOT"",""station"":{""id"":210,""name"":""Октябрьское Поле"",""allRoutesColorsList"":[""#943f90"",""#d14a43""]}",BOTH,3,13.0,
https://m2.ru/moskva/nedvizhimost/arenda-1-komnatnoi-kvartiri-32-m-3-16-etazh-7188719c-4a2e-4ea8-af8e-518ad538c8a2/,"Аренда 1-комнатной квартиры 32 м², 3/16 этаж",40000,20 000 ₽,40 000 ₽,,3,32,10,16 м²,1,true,null,true,true,true,true,true,true,false,248,"{""timeMinutes"":5,""transportType"":""FOOT"",""station"":{""id"":130,""name"":""Бауманская"",""allRoutesColorsList"":[""#0572b9""]}},{""timeMinutes"":21,""transportType"":""FOOT"",""station"":{""id"":14,""name"":""Красносельская"",""allRoutesColorsList"":[""#DD201C""]}},{""timeMinutes"":22,""transportType"":""FOOT"",""station"":{""id"":169326,""name"":""Лефортово"",""allRoutesColorsList"":[""#89cdcf""]}",REAR,248,14.0,
https://m2.ru/moskva/nedvizhimost/arenda-2-komnatnoi-kvartiri-56-m-9-12-etazh-fc54f262-120b-468d-8beb-ad3ba809ec0e/,"Аренда 2-комнатной квартиры 56 м², 9/12 этаж",70000,70 000 ₽,70 000 ₽,,9,56,28,13 м²,2,false,false,true,true,true,true,true,true,true,"3,2","{""timeMinutes"":15,""transportType"":""FOOT"",""station"":{""id"":72,""name"":""Динамо"",""allRoutesColorsList"":[""#4baf4f"",""#89cdcf""]}},{""timeMinutes"":19,""transportType"":""FOOT"",""station"":{""id"":169379,""name"":""Белорусская"",""allRoutesColorsList"":[""#F7A600""]}},{""timeMinutes"":20,""transportType"":""FOOT"",""station"":{""id"":337,""name"":""Петровский парк"",""allRoutesColorsList"":[""#89cdcf"",""#4baf4f""]}",REAR,"3,2",15.0,"50%, владельцу 50%"
https://m2.ru/moskva/nedvizhimost/arenda-3-komnatnoi-kvartiri-94-m-6-25-etazh-0bf09ecd-6de7-4632-aa48-3cc3e51e9a7e/,"Аренда 3-комнатной квартиры 94 м², 6/25 этаж",75000,,,,6,94,16,50 м²,3,true,true,true,true,true,true,true,true,true,"2,8","{""timeMinutes"":13,""transportType"":""FOOT"",""station"":{""id"":356,""name"":""Некрасовка"",""allRoutesColorsList"":[""#d68ab1""]}},{""timeMinutes"":23,""transportType"":""PUBLIC_TRANSPORT"",""station"":{""id"":355,""name"":""Лухмановская"",""allRoutesColorsList"":[""#d68ab1""]}},{""timeMinutes"":25,""transportType"":""PUBLIC_TRANSPORT"",""station"":{""id"":352,""name"":""Улица Дмитриевского"",""allRoutesColorsList"":[""#d68ab1""]}",BOTH,"2,8",16.0,
https://m2.ru/moskva/nedvizhimost/arenda-kvartiri-studii-18-m-1-5-etazh-9f8cd7fe-04da-4b07-b765-d773f366f56a/,"Аренда квартиры-студии 18 м², 1/5 этаж",32000,32 000 ₽,,,1,18,40,20 м²,null,false,false,true,true,true,true,true,true,false,"2,65","{""timeMinutes"":15,""transportType"":""FOOT"",""station"":{""id"":169360,""name"":""Окская"",""allRoutesColorsList"":[""#d68ab1""]}},{""timeMinutes"":20,""transportType"":""FOOT"",""station"":{""id"":222,""name"":""Кузьминки"",""allRoutesColorsList"":[""#943f90""]}},{""timeMinutes"":25,""transportType"":""FOOT"",""station"":{""id"":224,""name"":""Рязанский проспект"",""allRoutesColorsList"":[""#943f90""]}",REAR,"2,65",17.0,
https://m2.ru/moskva/nedvizhimost/arenda-2-komnatnoi-kvartiri-93-m-66-97-etazh-da98da2b-f4b4-4680-ad47-2a973d56ac1e/,"Аренда 2-комнатной квартиры 93 м², 66/97 этаж",350000,350 000 ₽,350 000 ₽,,66,93,10,75 м²,2,true,true,true,true,true,true,true,true,false,"3,6","{""timeMinutes"":5,""transportType"":""FOOT"",""station"":{""id"":147,""name"":""Международная"",""allRoutesColorsList"":[""#41BCEF"",""#d14a43""]}},{""timeMinutes"":6,""transportType"":""FOOT"",""station"":{""id"":150,""name"":""Выставочная"",""allRoutesColorsList"":[""#41BCEF"",""#89cdcf"",""#FBCD24""]}},{""timeMinutes"":6,""transportType"":""FOOT"",""station"":{""id"":253,""name"":""Деловой центр"",""allRoutesColorsList"":[""#89cdcf"",""#41BCEF"",""#FBCD24""]}",BOTH,"3,6",18.0,
https://m2.ru/moskva/nedvizhimost/arenda-3-komnatnoi-kvartiri-88-2-m-9-14-etazh-68eb9880-a5ae-4151-9f22-c7b462583b98/,"Аренда 3-комнатной квартиры 88,2 м², 9/14 этаж",82335,98 802 ₽,82 335 ₽,,9,88.19999694824219,9.899999618530273,"54,3 м²",3,false,false,true,true,true,true,false,true,true,"2,72","{""timeMinutes"":4,""transportType"":""FOOT"",""station"":{""id"":152,""name"":""Октябрьская"",""allRoutesColorsList"":[""#925233"",""#EA7D27""]}},{""timeMinutes"":9,""transportType"":""FOOT"",""station"":{""id"":154,""name"":""Добрынинская"",""allRoutesColorsList"":[""#925233"",""#adacac""]}},{""timeMinutes"":13,""transportType"":""FOOT"",""station"":{""id"":283,""name"":""Серпуховская"",""allRoutesColorsList"":[""#adacac"",""#925233""]}",BOTH,"2,72",19.0,"50%, владельцу 100%"
https://m2.ru/moskva/nedvizhimost/arenda-1-komnatnoi-kvartiri-56-m-6-30-etazh-719d6d99-0c94-40be-bd98-544cc829a361/,"Аренда 1-комнатной квартиры 56 м², 6/30 этаж",50000,50 000 ₽,50 000 ₽,,6,56,12,22 м²,1,false,false,true,true,true,true,false,true,true,3,"{""timeMinutes"":1,""transportType"":""FOOT"",""station"":{""id"":274,""name"":""Тимирязевская"",""allRoutesColorsList"":[""#adacac"",""#F7A600""]}},{""timeMinutes"":18,""transportType"":""FOOT"",""station"":{""id"":275,""name"":""Дмитровская"",""allRoutesColorsList"":[""#adacac""]}},{""timeMinutes"":19,""transportType"":""FOOT"",""station"":{""id"":6478,""name"":""Фонвизинская"",""allRoutesColorsList"":[""#BED12E""]}",FRONT,3,20.0,
